,checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit,dummy,checking_account_status_cat,credit_history_cat,purpose_cat,savings_account_balance_cat,time_employed_yrs_cat,gender_status_cat,other_signators_cat,property_cat,other_credit_outstanding_cat,home_ownership_cat,job_category_cat,telephone_cat,foreign_worker_cat
0,< 0 DM,6,critical account - other non-bank loans,radio/television,1169,unknown/none,>= 7 years,4,male-single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,0,1.0,1,1,7,4,3,3,2,2,1,1,1,1,1
1,0 - 200 DM,48,current loans paid,radio/television,5951,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,real estate,22,none,own,1,skilled,1,none,yes,1,1.0,0,2,7,2,0,0,2,2,1,1,1,0,1
2,none,12,critical account - other non-bank loans,education,2096,< 100 DM,4 - 7 years,2,male-single,none,3,real estate,49,none,own,1,unskilled-resident,2,none,yes,0,1.0,3,1,4,2,1,3,2,2,1,1,3,0,1
3,< 0 DM,42,current loans paid,furniture/equipment,7882,< 100 DM,4 - 7 years,2,male-single,guarantor,4,building society savings/life insurance,45,none,for free,1,skilled,2,none,yes,0,1.0,1,2,5,2,1,3,1,0,1,0,1,0,1
4,< 0 DM,24,past payment delays,car (new),4870,< 100 DM,1 - 4 years,3,male-single,none,4,unknown-none,53,none,for free,2,skilled,2,none,yes,1,1.0,1,4,1,2,0,3,2,3,1,0,1,0,1
5,none,36,current loans paid,education,9055,unknown/none,1 - 4 years,2,male-single,none,4,unknown-none,35,none,for free,1,unskilled-resident,2,yes,yes,0,1.0,3,2,4,4,0,3,2,3,1,0,3,1,1
6,none,24,current loans paid,furniture/equipment,2835,500 - 1000 DM,>= 7 years,3,male-single,none,4,building society savings/life insurance,53,none,own,1,skilled,1,none,yes,0,1.0,3,2,5,1,3,3,2,0,1,1,1,0,1
7,0 - 200 DM,36,current loans paid,car (used),6948,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,35,none,rent,1,highly skilled,1,yes,yes,0,1.0,0,2,2,2,0,3,2,1,1,2,0,1,1
8,none,12,current loans paid,radio/television,3059,>= 1000 DM,4 - 7 years,2,male-divorced/separated,none,4,real estate,61,none,own,1,unskilled-resident,1,none,yes,0,1.0,3,2,7,3,1,1,2,2,1,1,3,0,1
9,0 - 200 DM,30,critical account - other non-bank loans,car (new),5234,< 100 DM,unemployed,4,male-married/widowed,none,2,car or other,28,none,own,2,highly skilled,1,none,yes,1,1.0,0,1,1,2,4,2,2,1,1,1,0,0,1
10,0 - 200 DM,12,current loans paid,car (new),1295,< 100 DM,< 1 year,3,female-divorced/separated/married,none,1,car or other,25,none,rent,1,skilled,1,none,yes,1,1.0,0,2,1,2,2,0,2,1,1,2,1,0,1
11,< 0 DM,48,current loans paid,business,4308,< 100 DM,< 1 year,3,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,skilled,1,none,yes,1,1.0,1,2,0,2,2,0,2,0,1,2,1,0,1
12,0 - 200 DM,12,current loans paid,radio/television,1567,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,1,car or other,22,none,own,1,skilled,1,yes,yes,0,1.0,0,2,7,2,0,0,2,1,1,1,1,1,1
13,< 0 DM,24,critical account - other non-bank loans,car (new),1199,< 100 DM,>= 7 years,4,male-single,none,4,car or other,60,none,own,2,unskilled-resident,1,none,yes,1,1.0,1,1,1,2,3,3,2,1,1,1,3,0,1
14,< 0 DM,15,current loans paid,car (new),1403,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,28,none,rent,1,skilled,1,none,yes,0,1.0,1,2,1,2,0,0,2,1,1,2,1,0,1
15,< 0 DM,24,current loans paid,radio/television,1282,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,32,none,own,1,unskilled-resident,1,none,yes,1,1.0,1,2,7,0,0,0,2,1,1,1,3,0,1
